Member_number,Date,itemDescription,,istext
1808,21-07-2015,tropical fruit,,TRUE
2552,5/1/2015,whole milk,,FALSE
2300,19-09-2015,pip fruit,,TRUE
1187,12/12/2015,other vegetables,,FALSE
3037,1/2/2015,whole milk,,FALSE
4941,14-02-2015,rolls/buns,,TRUE
4501,8/5/2015,other vegetables,,FALSE
3803,23-12-2015,pot plants,,TRUE
2762,20-03-2015,whole milk,,TRUE
4119,12/2/2015,tropical fruit,,FALSE
1340,24-02-2015,citrus fruit,,TRUE
2193,14-04-2015,beef,,TRUE
1997,21-07-2015,frankfurter,,TRUE
4546,3/9/2015,chicken,,FALSE
4736,21-07-2015,butter,,TRUE
1959,30-03-2015,fruit/vegetable juice,,TRUE
1974,3/5/2015,packaged fruit/vegetables,,FALSE
2421,2/9/2015,chocolate,,FALSE
1513,3/8/2015,specialty bar,,FALSE
1905,7/7/2015,other vegetables,,FALSE
2810,8/9/2015,butter milk,,FALSE
2867,12/11/2015,whole milk,,FALSE
3962,18-09-2015,tropical fruit,,TRUE
1088,30-11-2015,tropical fruit,,TRUE
4976,17-07-2015,bottled water,,TRUE
4056,12/6/2015,yogurt,,FALSE
3611,13-02-2015,sausage,,TRUE
1420,14-01-2015,other vegetables,,TRUE
4286,8/3/2015,brown bread,,FALSE
4918,27-01-2015,yogurt,,TRUE
4783,22-10-2015,hamburger meat,,TRUE
3709,26-10-2015,root vegetables,,TRUE
4289,8/10/2015,pork,,FALSE
1559,3/10/2015,beef,,FALSE
2900,11/4/2015,pastry,,FALSE
1905,21-02-2015,fruit/vegetable juice,,TRUE
3527,29-09-2015,canned beer,,TRUE
1495,9/1/2015,root vegetables,,FALSE
3558,3/4/2015,citrus fruit,,FALSE
3128,20-04-2015,sausage,,TRUE
1863,4/8/2015,tropical fruit,,FALSE
3841,19-07-2015,berries,,TRUE
3903,6/10/2015,canned beer,,FALSE
2658,16-10-2015,butter milk,,TRUE
4272,6/6/2015,coffee,,FALSE
1120,26-09-2015,pastry,,TRUE
2676,15-08-2015,rolls/buns,,TRUE
1697,21-05-2015,misc. beverages,,TRUE
