,Country,Sugar Consumption (g per day),Bad Teeth (per child)
0,Afghanistan,1126,2.9
1,Albania,7147,3.02
2,Algeria,11305,2.3
3,Angola,4130,1.7
4,Antigua and Barbuda,20145,0.7
5,Argentina,12911,3.4
6,Armenia,4822,2.4
7,Australia,37314,0.8
8,Austria,40597,1.0
9,Bahamas,31779,1.6
10,Bahrain,42161,1.4
11,Bangladesh,1982,1.0
12,Barbados,14962,0.86
13,Belarus,10195,2.7
14,Belgium,39735,1.1
15,Belize,7000,0.6
16,Benin,1743,0.8
17,Bhutan,4239,1.4
18,Bosnia and Herzegovina,8035,4.8
19,Botswana,10266,0.5
20,Brazil,11762,2.8
21,Bulgaria,11643,4.4
22,Burkina Faso,1197,0.7
23,Burundi,689,1.0
24,Cambodia,1704,2.3
25,Cameroon,2735,1.5
26,Canada,38934,2.1
27,Chile,15033,3.4
28,China,5137,1.03
29,Colombia,8756,2.3
30,Costa Rica,10217,2.3
31,Croatia,19033,3.5
32,Cuba,4618,1.4
33,Cyprus,30670,1.14
34,Denmark,43731,0.8
35,Djibouti,2022,0.9
36,Dominica,7873,2.0
37,Ecuador,7873,3.0
38,Egypt,7986,1.18
39,El Salvador,5553,1.4
40,Estonia,19785,2.7
41,Ethiopia,673,1.55
42,Fiji,7412,1.5
43,Finland,38468,1.2
44,France,36558,1.2
45,Gabon,15552,4.4
46,Gambia,1440,2.3
47,Georgia,4831,2.4
48,Germany,37694,0.7
49,Ghana,2372,0.4
50,Greece,29326,2.2
51,Grenada,9232,2.2
52,Guatemala,6108,5.2
53,Guinea-Bissau,1322,0.5
54,Guyana,4631,1.3
55,Haiti,1559,0.65
56,Honduras,3344,3.7
57,Hungary,20315,3.3
58,Iceland,37491,1.4
59,India,3189,3.94
60,Indonesia,6256,2.2
61,Iraq,10727,1.7
62,Ireland,38755,1.1
63,Israel,25287,1.66
64,Italy,37370,1.1
65,Jamaica,7902,1.1
66,Japan,35770,1.7
67,Jordan,8514,3.3
68,Kazakhstan,14676,2.1
69,Kenya,2107,1.35
70,Kiribati,2880,1.0
71,Kuwait,94816,2.6
72,Kyrgyzstan,2265,3.1
73,Latvia,15345,3.4
74,Lebanon,10099,3.4
75,Lesotho,2487,0.4
76,Liberia,869,0.4
77,Libya,21029,1.14
78,Liechtenstein,78206,3.4
79,Lithuania,16587,3.6
80,Luxembourg,82808,3.0
81,Madagascar,1342,3.1
82,Malawi,852,0.7
83,Malaysia,17078,1.6
84,Maldives,10633,2.1
85,Mali,1661,2.2
86,Malta,25466,1.6
87,Mauritania,3058,2.0
88,Mauritius,12674,4.9
89,Mexico,15781,2.0
90,Mongolia,5689,1.9
91,Morocco,5211,2.5
92,Mozambique,687,3.05
93,Myanmar,1999,1.1
94,Namibia,7868,1.2
95,Nepal,1637,0.5
96,Netherlands,43297,0.8
97,New Zealand,29558,1.6
98,Nicaragua,3494,1.5
99,Niger,755,1.3
100,Nigeria,3699,0.46
101,Norway,61761,1.7
102,Oman,41322,1.65
103,Pakistan,3748,1.38
104,Panama,10707,3.6
105,Papua New Guinea,2283,1.7
106,Paraguay,6847,3.8
107,Peru,6845,2.9
108,Philippines,5493,2.9
109,Poland,16078,3.2
110,Portugal,26041,1.5
111,Romania,13165,2.8
112,Rwanda,975,0.3
113,Saint Kitts and Nevis,21058,5.5
114,Saint Lucia,9684,6.0
115,Saint Vincent and the Grenadines,8595,3.2
116,Samoa,4813,2.5
117,Saudi Arabia,44734,5.9
118,Senegal,2582,1.2
119,Seychelles,16601,1.5
120,Sierra Leone,1035,1.3
121,Singapore,55941,1.0
122,Slovenia,25587,1.8
123,Solomon Islands,1650,2.7
124,South Africa,10388,1.05
125,Spain,31961,1.12
126,Sri Lanka,6077,1.4
127,Sudan,2412,1.4
128,Suriname,11058,1.9
129,Sweden,40532,1.0
130,Switzerland,54719,0.86
131,Tajikistan,1810,1.2
132,Thailand,10647,1.6
133,Togo,1168,0.3
134,Tonga,4974,3.1
135,Trinidad and Tobago,24267,0.6
136,Tunisia,8303,1.3
137,Turkey,14945,2.7
138,Turkmenistan,5718,2.6
139,Tuvalu,5161,2.0
140,Uganda,1191,0.9
141,Ukraine,6940,4.4
142,United Arab Emirates,99013,1.6
143,United Kingdom,36670,0.7
144,United States,48752,1.19
145,Uruguay,11576,2.5
146,Uzbekistan,2910,1.4
147,Vanuatu,2413,1.2
148,Zambia,2261,2.3
149,Zimbabwe,1973,1.3
