,Country,Sugar Consumption (g per day),Obesity(% of Population)
0,Afghanistan,24.5,
1,Afghanistan,24.5,
2,Afghanistan,24.5,
3,Afghanistan,24.5,
4,Afghanistan,24.5,
5,Afghanistan,24.5,
6,Afghanistan,24.5,
7,Afghanistan,24.5,
8,Afghanistan,24.5,
9,Afghanistan,24.5,
10,Afghanistan,24.5,
11,Afghanistan,24.5,
12,Afghanistan,24.5,
13,Afghanistan,24.5,
14,Afghanistan,24.5,
15,Afghanistan,24.5,
16,Afghanistan,24.5,
17,Afghanistan,24.5,
18,Afghanistan,24.5,
19,Afghanistan,24.5,
20,Afghanistan,24.5,
21,Afghanistan,24.5,
22,Afghanistan,24.5,
23,Afghanistan,24.5,
24,Afghanistan,24.5,
25,Afghanistan,24.5,
26,Afghanistan,24.5,
27,Afghanistan,24.5,
28,Afghanistan,24.5,
29,Afghanistan,24.5,
30,Afghanistan,24.5,
31,Afghanistan,24.5,
32,Afghanistan,24.5,
33,Afghanistan,24.5,
34,Afghanistan,24.5,
35,Afghanistan,24.5,
36,Afghanistan,24.5,
37,Afghanistan,24.5,
38,Afghanistan,24.5,
39,Afghanistan,24.5,
40,Afghanistan,24.5,
41,Afghanistan,24.5,
42,Afghanistan,24.5,
43,Afghanistan,24.5,
44,Afghanistan,24.5,
45,Afghanistan,24.5,
46,Afghanistan,24.5,
47,Afghanistan,24.5,
48,Afghanistan,24.5,
49,Afghanistan,24.5,
50,Afghanistan,24.5,
51,Afghanistan,24.5,
52,Afghanistan,24.5,
53,Afghanistan,24.5,
54,Afghanistan,24.5,
55,Afghanistan,24.5,
56,Afghanistan,24.5,
57,Afghanistan,24.5,
58,Afghanistan,24.5,
59,Afghanistan,24.5,
60,Afghanistan,24.5,
61,Afghanistan,24.5,
62,Afghanistan,24.5,
63,Afghanistan,24.5,
64,Afghanistan,24.5,
65,Afghanistan,24.5,
66,Afghanistan,24.5,
67,Afghanistan,24.5,
68,Afghanistan,24.5,
69,Afghanistan,24.5,
70,Afghanistan,24.5,
71,Afghanistan,24.5,
72,Afghanistan,24.5,
73,Afghanistan,24.5,
74,Afghanistan,24.5,
75,Afghanistan,24.5,
76,Afghanistan,24.5,
77,Afghanistan,24.5,
78,Afghanistan,24.5,
79,Afghanistan,24.5,
80,Afghanistan,24.5,
81,Afghanistan,24.5,
82,Afghanistan,24.5,
83,Afghanistan,24.5,
84,Afghanistan,24.5,
85,Afghanistan,24.5,
86,Afghanistan,24.5,
87,Afghanistan,24.5,
88,Afghanistan,24.5,
89,Afghanistan,24.5,
90,Afghanistan,24.5,
91,Afghanistan,24.5,
92,Afghanistan,24.5,
93,Afghanistan,24.5,
94,Afghanistan,24.5,
95,Afghanistan,24.5,
96,Afghanistan,24.5,
97,Afghanistan,24.5,
98,Afghanistan,24.5,
99,Afghanistan,24.5,
100,Afghanistan,24.5,
101,Afghanistan,24.5,
102,Afghanistan,24.5,
103,Afghanistan,24.5,
104,Afghanistan,24.5,
105,Afghanistan,24.5,
106,Afghanistan,24.5,
107,Afghanistan,24.5,
108,Afghanistan,24.5,
109,Afghanistan,24.5,
110,Afghanistan,24.5,
111,Afghanistan,24.5,
112,Afghanistan,24.5,
113,Afghanistan,24.5,
114,Afghanistan,24.5,
115,Afghanistan,24.5,
116,Afghanistan,24.5,
117,Afghanistan,24.5,
118,Afghanistan,24.5,
119,Afghanistan,24.5,
120,Afghanistan,24.5,
121,Afghanistan,24.5,
122,Afghanistan,24.5,
123,Afghanistan,24.5,
124,Afghanistan,24.5,
125,Afghanistan,24.5,
126,Albania,131.0,
127,Albania,131.0,
128,Albania,131.0,
129,Albania,131.0,
130,Albania,131.0,
131,Albania,131.0,
132,Albania,131.0,
133,Albania,131.0,
134,Albania,131.0,
135,Albania,131.0,
136,Albania,131.0,
137,Albania,131.0,
138,Albania,131.0,
139,Albania,131.0,
140,Albania,131.0,
141,Albania,131.0,
142,Albania,131.0,
143,Albania,131.0,
144,Albania,131.0,
145,Albania,131.0,
146,Albania,131.0,
147,Albania,131.0,
148,Albania,131.0,
149,Albania,131.0,
150,Albania,131.0,
151,Albania,131.0,
152,Albania,131.0,
153,Albania,131.0,
154,Albania,131.0,
155,Albania,131.0,
156,Albania,131.0,
157,Albania,131.0,
158,Albania,131.0,
159,Albania,131.0,
160,Albania,131.0,
161,Albania,131.0,
162,Albania,131.0,
163,Albania,131.0,
164,Albania,131.0,
165,Albania,131.0,
166,Albania,131.0,
167,Albania,131.0,
168,Albania,131.0,
169,Albania,131.0,
170,Albania,131.0,
171,Albania,131.0,
172,Albania,131.0,
173,Albania,131.0,
174,Albania,131.0,
175,Albania,131.0,
176,Albania,131.0,
177,Albania,131.0,
178,Albania,131.0,
179,Albania,131.0,
180,Albania,131.0,
181,Albania,131.0,
182,Albania,131.0,
183,Albania,131.0,
184,Albania,131.0,
185,Albania,131.0,
186,Albania,131.0,
187,Albania,131.0,
188,Albania,131.0,
189,Albania,131.0,
190,Albania,131.0,
191,Albania,131.0,
192,Albania,131.0,
193,Albania,131.0,
194,Albania,131.0,
195,Albania,131.0,
196,Albania,131.0,
197,Albania,131.0,
198,Albania,131.0,
199,Albania,131.0,
200,Albania,131.0,
201,Albania,131.0,
202,Albania,131.0,
203,Albania,131.0,
204,Albania,131.0,
205,Albania,131.0,
206,Albania,131.0,
207,Albania,131.0,
208,Albania,131.0,
209,Albania,131.0,
210,Albania,131.0,
211,Albania,131.0,
212,Albania,131.0,
213,Albania,131.0,
214,Albania,131.0,
215,Albania,131.0,
216,Albania,131.0,
217,Albania,131.0,
218,Albania,131.0,
219,Albania,131.0,
220,Albania,131.0,
221,Albania,131.0,
222,Albania,131.0,
223,Albania,131.0,
224,Albania,131.0,
225,Albania,131.0,
226,Albania,131.0,
227,Albania,131.0,
228,Albania,131.0,
229,Albania,131.0,
230,Albania,131.0,
231,Albania,131.0,
232,Albania,131.0,
233,Albania,131.0,
234,Albania,131.0,
235,Albania,131.0,
236,Albania,131.0,
237,Albania,131.0,
238,Albania,131.0,
239,Albania,131.0,
240,Albania,131.0,
241,Albania,131.0,
242,Albania,131.0,
243,Albania,131.0,
244,Albania,131.0,
245,Albania,131.0,
246,Albania,131.0,
247,Albania,131.0,
248,Albania,131.0,
249,Albania,131.0,
250,Albania,131.0,
251,Albania,131.0,
252,Algeria,78.2,
253,Algeria,78.2,
254,Algeria,78.2,
255,Algeria,78.2,
256,Algeria,78.2,
257,Algeria,78.2,
258,Algeria,78.2,
259,Algeria,78.2,
260,Algeria,78.2,
261,Algeria,78.2,
262,Algeria,78.2,
263,Algeria,78.2,
264,Algeria,78.2,
265,Algeria,78.2,
266,Algeria,78.2,
267,Algeria,78.2,
268,Algeria,78.2,
269,Algeria,78.2,
270,Algeria,78.2,
271,Algeria,78.2,
272,Algeria,78.2,
273,Algeria,78.2,
274,Algeria,78.2,
275,Algeria,78.2,
276,Algeria,78.2,
277,Algeria,78.2,
278,Algeria,78.2,
279,Algeria,78.2,
280,Algeria,78.2,
281,Algeria,78.2,
282,Algeria,78.2,
283,Algeria,78.2,
284,Algeria,78.2,
285,Algeria,78.2,
286,Algeria,78.2,
287,Algeria,78.2,
288,Algeria,78.2,
289,Algeria,78.2,
290,Algeria,78.2,
291,Algeria,78.2,
292,Algeria,78.2,
293,Algeria,78.2,
294,Algeria,78.2,
295,Algeria,78.2,
296,Algeria,78.2,
297,Algeria,78.2,
298,Algeria,78.2,
299,Algeria,78.2,
300,Algeria,78.2,
301,Algeria,78.2,
302,Algeria,78.2,
303,Algeria,78.2,
304,Algeria,78.2,
305,Algeria,78.2,
306,Algeria,78.2,
307,Algeria,78.2,
308,Algeria,78.2,
309,Algeria,78.2,
310,Algeria,78.2,
311,Algeria,78.2,
312,Algeria,78.2,
313,Algeria,78.2,
314,Algeria,78.2,
315,Algeria,78.2,
316,Algeria,78.2,
317,Algeria,78.2,
318,Algeria,78.2,
319,Algeria,78.2,
320,Algeria,78.2,
321,Algeria,78.2,
322,Algeria,78.2,
323,Algeria,78.2,
324,Algeria,78.2,
325,Algeria,78.2,
326,Algeria,78.2,
327,Algeria,78.2,
328,Algeria,78.2,
329,Algeria,78.2,
330,Algeria,78.2,
331,Algeria,78.2,
332,Algeria,78.2,
333,Algeria,78.2,
